瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C)
156,堡林,2016-02-01,-2.2
156,堡林,2016-02-02,-2.1
156,堡林,2016-02-03,-.1
156,堡林,2016-02-04,.7
156,堡林,2016-02-05,1.2
156,堡林,2016-02-06,-.4
156,堡林,2016-02-07,-.4
156,堡林,2016-02-08,2.8
156,堡林,2016-02-09,4
156,堡林,2016-02-10,5
156,堡林,2016-02-11,10.9
156,堡林,2016-02-12,13.7
156,堡林,2016-02-13,14.2
156,堡林,2016-02-14,.7
156,堡林,2016-02-15,-2.1
156,堡林,2016-02-16,1.3
156,堡林,2016-02-17,2.9
156,堡林,2016-02-18,4.7
156,堡林,2016-02-19,7
156,堡林,2016-02-20,4.7
156,堡林,2016-02-21,2.4
156,堡林,2016-02-22,3.5
156,堡林,2016-02-23,4
156,堡林,2016-02-24,-.6
156,堡林,2016-02-25,1.5
156,堡林,2016-02-26,3.5
156,堡林,2016-02-27,8.9
156,堡林,2016-02-28,6.7
156,堡林,2016-02-29,-1.1
156,堡林,2016-03-01,-.2
156,堡林,2016-03-02,4.5
156,堡林,2016-03-03,10
156,堡林,2016-03-04,11.8
156,堡林,2016-03-05,15.1
156,堡林,2016-03-06,12.2
156,堡林,2016-03-07,11.9
156,堡林,2016-03-08,6.5
156,堡林,2016-03-09,3
156,堡林,2016-03-10,1.3
156,堡林,2016-03-11,1.4
156,堡林,2016-03-12,4.1
156,堡林,2016-03-13,5.2
156,堡林,2016-03-14,4.9
156,堡林,2016-03-15,7.2
156,堡林,2016-03-16,9.6
156,堡林,2016-03-17,12.4
156,堡林,2016-03-18,12
156,堡林,2016-03-19,11.6
156,堡林,2016-03-20,9.2
156,堡林,2016-03-21,10.1
156,堡林,2016-03-22,9.6
156,堡林,2016-03-23,8.4
156,堡林,2016-03-24,7.3
156,堡林,2016-03-25,6.7
156,堡林,2016-03-26,5.2
156,堡林,2016-03-27,7.1
156,堡林,2016-03-28,9.8
156,堡林,2016-03-29,12
156,堡林,2016-03-30,15.4
156,堡林,2016-03-31,15
156,堡林,2016-04-01,15.7
156,堡林,2016-04-02,16.6
156,堡林,2016-04-03,14.1
156,堡林,2016-04-04,13.4
156,堡林,2016-04-05,12.9
156,堡林,2016-04-06,12.5
156,堡林,2016-04-07,13
156,堡林,2016-04-08,15.4
156,堡林,2016-04-09,17
156,堡林,2016-04-10,16.9
156,堡林,2016-04-11,14.5
156,堡林,2016-04-12,15.1
156,堡林,2016-04-13,16.9
156,堡林,2016-04-14,17.2
156,堡林,2016-04-15,15.9
156,堡林,2016-04-16,15.8
156,堡林,2016-04-17,12.6
156,堡林,2016-04-18,13.3
156,堡林,2016-04-19,14.3
156,堡林,2016-04-20,16
156,堡林,2016-04-21,15.1
156,堡林,2016-04-22,17.9
156,堡林,2016-04-23,17.1
156,堡林,2016-04-24,17.3
156,堡林,2016-04-25,18.6
156,堡林,2016-04-26,18.7
156,堡林,2016-04-27,13.1
156,堡林,2016-04-28,14.5
156,堡林,2016-04-29,15.5
156,堡林,2016-04-30,17
156,堡林,2016-05-01,19.3
156,堡林,2016-05-02,19.2
156,堡林,2016-05-03,15.5
156,堡林,2016-05-04,16.6
156,堡林,2016-05-05,18.5
