지점,지점명,일시,평균기온(°C)
108,서울,2016-02-01,-6
108,서울,2016-02-02,-5.3
108,서울,2016-02-03,-2.4
108,서울,2016-02-04,-.7
108,서울,2016-02-05,-2.2
108,서울,2016-02-06,-3.1
108,서울,2016-02-07,-2.9
108,서울,2016-02-08,1.3
108,서울,2016-02-09,.3
108,서울,2016-02-10,2.7
108,서울,2016-02-11,8.1
108,서울,2016-02-12,8.4
108,서울,2016-02-13,11
108,서울,2016-02-14,-2.6
108,서울,2016-02-15,-5.8
108,서울,2016-02-16,-2.7
108,서울,2016-02-17,0
108,서울,2016-02-18,3.5
108,서울,2016-02-19,2.3
108,서울,2016-02-20,1.3
108,서울,2016-02-21,-.6
108,서울,2016-02-22,1.1
108,서울,2016-02-23,.7
108,서울,2016-02-24,-3
108,서울,2016-02-25,-.2
108,서울,2016-02-26,2.2
108,서울,2016-02-27,3.3
108,서울,2016-02-28,.7
108,서울,2016-02-29,-3.8
108,서울,2016-03-01,-2.7
108,서울,2016-03-02,3.1
108,서울,2016-03-03,8.1
108,서울,2016-03-04,13.2
108,서울,2016-03-05,11.3
108,서울,2016-03-06,7.9
108,서울,2016-03-07,8.1
108,서울,2016-03-08,2.7
108,서울,2016-03-09,.3
108,서울,2016-03-10,-1.1
108,서울,2016-03-11,-.5
108,서울,2016-03-12,2
108,서울,2016-03-13,3.7
108,서울,2016-03-14,4.7
108,서울,2016-03-15,5.2
108,서울,2016-03-16,7.5
108,서울,2016-03-17,9.3
108,서울,2016-03-18,13.4
108,서울,2016-03-19,11.4
108,서울,2016-03-20,10.6
108,서울,2016-03-21,9.9
108,서울,2016-03-22,8
108,서울,2016-03-23,8.2
108,서울,2016-03-24,7.2
108,서울,2016-03-25,7.1
108,서울,2016-03-26,6.5
108,서울,2016-03-27,7.2
108,서울,2016-03-28,9.8
108,서울,2016-03-29,11.3
108,서울,2016-03-30,11.5
108,서울,2016-03-31,13.5
108,서울,2016-04-01,15.3
108,서울,2016-04-02,15
108,서울,2016-04-03,10.7
108,서울,2016-04-04,12.3
108,서울,2016-04-05,11.4
108,서울,2016-04-06,14.4
108,서울,2016-04-07,14.1
108,서울,2016-04-08,11.1
108,서울,2016-04-09,10.7
108,서울,2016-04-10,13.4
108,서울,2016-04-11,12.5
108,서울,2016-04-12,14.1
108,서울,2016-04-13,15.6
108,서울,2016-04-14,12.4
108,서울,2016-04-15,15
108,서울,2016-04-16,14.9
108,서울,2016-04-17,10.8
108,서울,2016-04-18,11.2
108,서울,2016-04-19,12
108,서울,2016-04-20,14.3
108,서울,2016-04-21,13.5
108,서울,2016-04-22,13.5
108,서울,2016-04-23,13.5
108,서울,2016-04-24,15.5
108,서울,2016-04-25,17.2
108,서울,2016-04-26,21.1
108,서울,2016-04-27,17.2
108,서울,2016-04-28,17.2
108,서울,2016-04-29,16.2
108,서울,2016-04-30,15.9
108,서울,2016-05-01,18.8
108,서울,2016-05-02,21.1
108,서울,2016-05-03,12.9
108,서울,2016-05-04,15.7
108,서울,2016-05-05,18.9
108,서울,2016-05-06,16.3
108,서울,2016-05-07,16.5
108,서울,2016-05-08,19.4
108,서울,2016-05-09,20.2
108,서울,2016-05-10,14.5
108,서울,2016-05-11,16.4
108,서울,2016-05-12,17.8
108,서울,2016-05-13,18.6
108,서울,2016-05-14,20.2
108,서울,2016-05-15,17.4
108,서울,2016-05-16,15.9
108,서울,2016-05-17,19.3
108,서울,2016-05-18,22.3
108,서울,2016-05-19,24.3
108,서울,2016-05-20,24
108,서울,2016-05-21,24.1
108,서울,2016-05-22,24.7
108,서울,2016-05-23,23.3
108,서울,2016-05-24,16.8
108,서울,2016-05-25,19.7
108,서울,2016-05-26,19.4
108,서울,2016-05-27,20.9
108,서울,2016-05-28,21.7
108,서울,2016-05-29,21.5
108,서울,2016-05-30,22.1
108,서울,2016-05-31,21.6
108,서울,2016-06-01,23.3
108,서울,2016-06-02,23.2
108,서울,2016-06-03,22.2
108,서울,2016-06-04,21.2
108,서울,2016-06-05,24.7
108,서울,2016-06-06,23.3
108,서울,2016-06-07,21.7
108,서울,2016-06-08,22.1
108,서울,2016-06-09,24.1
108,서울,2016-06-10,24.6
108,서울,2016-06-11,23.5
108,서울,2016-06-12,23.5
108,서울,2016-06-13,23.5
108,서울,2016-06-14,23.8
108,서울,2016-06-15,20.9
108,서울,2016-06-16,20.9
108,서울,2016-06-17,23.8
108,서울,2016-06-18,24.5
108,서울,2016-06-19,24.1
108,서울,2016-06-20,24.7
108,서울,2016-06-21,26
108,서울,2016-06-22,24.3
